Official LCC,Fiscal Year,Formulation,Implementation (incl LV),Launch Services,Operations,Total Cost,Total Cost (inflation adj),Notes
$315.4,2016,$6.4,,,,$6.4,$7.0,Formulation authorization: March 2016
,2017,$16.1,,,,$16.1,$17.2,KDP-B: March 2017
,2018,$18.1,$22.9,,,$41.0,$42.7,KDP-C: August 2018
,2019,,$98.0,,,$98.0,$100.0,
,2020,,$72.4,,,$72.4,$72.4,
,2021,,$65.0,,$1.4,$66.4,$66.4,
,2022,,,,$11.1,$11.1,$11.1,
,2023,,,,$4.0,$4.0,$4.0,
Totals,,$40.6,$258.3,$68.8,$16.5,$315.4,$320.7,Launch estimate from: https://www.nasa.gov/press-release/nasa-awards-launch-services-contract-for-asteroid-redirect-test-mission
,,14%,86%,,5%,,,% dev spent on formulation vs. implementation. % TOTAL on operations
