Official LCC,Fiscal Year,Pre-Formulation,Formulation,Implementation (incl LV),Launch Vehicle,Operations,Total Cost,Total Cost (inflation adj),Notes
"$4,250.00 ",2013,$69.70 ,,,,,,,"Pre-formulation not included in project totals, but included here for reference"
,2014,$80.00 ,,,,,,,
,2015,,$100.00 ,,,,$100.00 ,$110.20 ,Phase A start: Apr 2015
,2016,,$146.30 ,,,,$146.30 ,$159.00 ,
,2017,,$237.40 ,,,,$237.40 ,$253.30 ,KDP-B Feb 2017
,2018,,$525.00 ,,,,$525.00 ,$546.50 ,
,2019,,$195.70 ,$349.30 ,,,$545.00 ,$555.90 ,KDP-C: Aug 2019
,2020,,,$592.60 ,,,$592.60 ,$592.60 ,
,2021,,,$434.80 ,,,$434.80 ,$434.80 ,
,2022,,,$472.10 ,,,$472.10 ,$472.10 ,
,2023,,,$305.00 ,,,$305.00 ,$305.00 ,
,2024,,,$240.00 ,,,$240.00 ,$240.00 ,
,2025,,,,,$110.10 ,$110.10 ,$110.10 ,Planned launch: October 2024
,2026,,,,,$90.10 ,$90.10 ,$90.10 ,
,2027,,,,,$57.60 ,$57.60 ,$57.60 ,
,2028,,,,,$57.60 ,$57.60 ,$57.60 ,
,2029,,,,,$57.60 ,$57.60 ,$57.60 ,
,2030,,,,,$57.60 ,$57.60 ,$57.60 ,
,2031,,,,,$57.60 ,$57.60 ,$57.60 ,
,2032,,,,,$57.60 ,$57.60 ,$57.60 ,
,2033,,,,,$57.60 ,$57.60 ,$57.60 ,
,2034,,,,,$57.60 ,$57.60 ,$57.60 ,
,2035,,,,,$57.60 ,$57.60 ,$57.60 ,
Totals,,149.7,1204.4,2393.8,,$718.60 ,"$4,316.80 ","$4,388.00 ",
