Official LCC,Fiscal Year,Formulation,Implementation (incl LV costs),Launch Vehicle,Operations,Total Cost,Total Cost (inflation adj),Notes
$496.20 ,2007,$1.20 ,,,,$1.20 ,$1.50 ,Selected: 13 Dec 2007
,2008,$27.00 ,$40.10 ,,,$67.10 ,$82.80 ,
,2009,$22.30 ,$130.60 ,,,$152.90 ,$185.20 ,KDP-C 28 Jan 2009
,2010,,$124.10 ,,,$124.10 ,$148.30 ,
,2011,,$103.40 ,,,$103.40 ,$121.60 ,Launch: 10 Sept 2011
,2012,,,,$29.80 ,$29.80 ,$36.50 ,
,2013,,,,$7.00 ,$7.00 ,$8.40 ,Lunar Impact (end of mission): 17 Dec 2012
,2014,,,,$3.00 ,$3.00 ,$3.50 ,
Totals,,$50.50 ,$398.20 ,$149.00 ,$39.80 ,$488.50 ,$587.90 ,LV Estimate from chart on slide 17 of https://science.nasa.gov/science-pink/s3fs-public/atoms/files/Glaze-Clarke-Bleacher-LPSC-March202-TAGGED.pdf
,,11%,89%,,8%,,,% dev spent on formulation vs. implementation. % TOTAL on operations
