Official LCC,Fiscal Year,Formulation,Implementation (incl LV costs),Launch Vehicle,Operations,Total Cost,Total Cost (inflation adj)
$813.80 ,2011,$3.00 ,,,,$3.00 ,$3.50 
,2012,$62.00 ,,,,$62.00 ,$72.10 
,2013,$33.80 ,$88.90 ,,,$122.70 ,$140.60 
,2014,,$203.30 ,,,$203.30 ,$228.50 
,2015,,$170.00 ,,,$170.00 ,$187.30 
,2016,,$92.10 ,,,$92.10 ,$100.10 
,2017,,$32.30 ,,,$32.30 ,$34.50 
,2018,,$74.30 ,$168 ,0,$74.30 ,$77.30 
,2019,,,,$23.10 ,$23.10 ,$23.60 
,2020,,,,$13.60 ,$13.60 ,$13.60 
,2021,,,,$11.80 ,$11.80 ,$11.80 
,2022,,,,$8.80 ,$8.80 ,$8.80 
,2023,,,,$8.80 ,$8.80 ,$8.80 
Totals,,$98.80 ,$660.90 ,$168 ,$66.10 ,$825.80 ,$834.90 
