Official LCC,Fiscal Year,Formulation,Implementation (incl LV),Launch Services,Operations,Total Cost,Total Cost (inflation adj),Notes
$989.10 ,2016,$3.00 ,,,,$3.00 ,$3.30 ,11.5 year prime mission
,2017,$54.50 ,,,,$54.50 ,$58.20 ,
,2018,$37.20 ,$44.20 ,,,$81.40 ,$84.70 ,
,2019,,$165.50 ,,,$165.50 ,$168.80 ,KDP-C: Nov 2018
,2020,,$208.60 ,,,$208.60 ,$208.60 ,CDR: Oct 2019
,2021,,$143.60 ,$149.40 ,,$143.60 ,$143.60 ,
,2022,,$52.30 ,,$25.00 ,$77.30 ,$77.30 ,Launch: Oct 2021
,2023,,,,$18.00 ,$18.00 ,$18.00 ,
,2024,,,,$20.20 ,$20.20 ,$20.20 ,
,2025,,,,$24.50 ,$24.50 ,$24.50 ,
,2026,,,,$41.70 ,$41.70 ,$41.70 ,
,2027,,,,$21.50 ,$21.50 ,$21.50 ,
,2028,,,,$21.50 ,$21.50 ,$21.50 ,
,2029,,,,$21.50 ,$21.50 ,$21.50 ,
,2030,,,,$21.50 ,$21.50 ,$21.50 ,
,2031,,,,$21.50 ,$21.50 ,$21.50 ,
,2032,,,,$21.50 ,$21.50 ,$21.50 ,
,2033,,,,$21.50 ,$21.50 ,$21.50 ,
Totals,,$94.70 ,$614.20 ,$149.40 ,$280.20 ,$989.10 ,$999.70 ,Launch estimate from: FY2022 PBR Development Cost Details section for Lucy
,,13%,87%,,28%,,,% dev spent on formulation vs. implementation. % TOTAL on operations
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,$559.50 ,,,,,,
