Official LCC,Fiscal Year,Formulation,Implementation (incl LV),Launch Services,Operations,Total Cost,Total Cost (inflation adj),Notes
$671,2007,$5.3,,,,$5.3,$6.8,
,2008,$1.0,,,,$1.0,$1.2,
,2009,$6.7,,,,$6.7,$8.1,
,2010,$48.1,,,,$48.1,$57.5,
,2011,$5.5,$155.0,,,$160.5,$188.7,KDP-C: Oct 2010
,2012,,$245.7,,,$245.7,$285.7,
,2013,,$86.5,,,$86.5,$99.1,
,2014,,,,$14.9,$14.9,$17.6,Launch: Nov 2013
,2015,,,,$13.8,$13.8,$16.0,
,2016,,,,$21.3,$21.3,$24.1,End of prime mission: Oct 2015
,2017,,,,$20.5,$20.5,$22.7,
,2018,,,,$22.2,$22.2,$24.1,
,2019,,,,$17.9,$17.9,$18.9,
,2020,,,,$20.5,$20.5,$20.5,
,2021,,,,$22.0,$22.0,$22.0,
,2022,,,,$23.0,$23.0,$23.0,
Totals,,$66.6,$487.2,$187,$176.1,$729.9,$836.2,Launch estimate from: https://www.nasa.gov/home/hqnews/2010/oct/HQ_C10-065_Maven_Services.html
,,12%,88%,,24%,$20.5,,% dev spent on formulation vs. implementation. % TOTAL on operations
