Official LCC,Fiscal Year,Formulation,Development (incl LV),Launch Services,Operations,Total Cost,Total Cost (inflation adj),Notes
$720 ,2001,$12.00 ,,,,$12.00 ,$18.40 ,
,2002,$58.00 ,,,,$58.00 ,$86.50 ,KDP-C: July 2002
,2003,,$146.90 ,,,$146.90 ,$214.50 ,
,2004,,$185.50 ,,,$185.50 ,$261.70 ,
,2005,,$143.70 ,$90 ,,$143.70 ,$196.70 ,Launch: 12 Aug 2005
,2006,,,,$46.40 ,$46.40 ,$66.20 ,Mars arrival: 10 March 2006
,2007,,,,$47.60 ,$47.60 ,$65.90 ,
,2008,,,,$38.90 ,$38.90 ,$52.10 ,
,2009,,,,$23.90 ,$23.90 ,$31.00 ,
,2010,,,,$23.20 ,$23.20 ,$29.50 ,
,2011,,,,$30.10 ,$30.10 ,$37.70 ,End prime mission: Dec 2010
,2012,,,,$39.90 ,$39.90 ,$48.90 ,
,2013,,,,$20.60 ,$20.60 ,$24.80 ,
,2014,,,,$29.20 ,$29.20 ,$34.50 ,
,2015,,,,$27.90 ,$27.90 ,$32.30 ,
,2016,,,,$27.70 ,$27.70 ,$31.40 ,
,2017,,,,$28.00 ,$28.00 ,$31.10 ,
,2018,,,,$26.30 ,$26.30 ,$28.50 ,
,2019,,,,$26.00 ,$26.00 ,$27.40 ,
,2020,,,,$26.90 ,$26.90 ,$26.90 ,
,2021,,,,$27.00 ,$27.00 ,$27.00 ,
,2022,,,,$26.00 ,$26.00 ,$26.00 ,
Totals,,$70.00 ,$476.10 ,$90 ,$515.60 ,"$1,061.70 ","$1,399.20 ","Press kit specifies $90M for launch, but not specified in PBRs."
,,13%,87%,,49%,,,% dev spent on formulation vs. implementation. % TOTAL on operations
