Official LCC,Fiscal Year,Mariner R (I & II) Venus fly-by,Mariner-Mars '64 (III & IV),Mariner-Venus 1967 (V),Mariner-Mars 1969 (VI & VII),Mariner-Mars 1971 (VIII & IX),Mariner Venus - Mercury 1973 (X),Total Mariner,Launch Vehicles,Total Cost,Total Cost (inflation adj),Notes
N/A,1961,,,,,,,$14.8,,$14.8,$186.9,"""Total Mariner"" column occassionaly includes other non-flight elements. See specific FY entries for details"
,1962,$13.2,,,,,,$31.4,$17.0,$48.4,$588.2,
,1963,$7.7,$31.8,,,,,$38.0,$4.8,$42.8,$502.5,Mariner I launch: 22 Jul 1962. Mariner II launch: 27 Aug 1962
,1964,,$28.4,,,,,$49.2,$10.6,$59.7,$671.1,
,1965,,$16.2,,,,,$17.4,$9.1,$26.5,$287.8,Mariner III launch: 5 Nov 1964. Mariner IV launch: 28 Nov 1964.
,1966,,$2.3,$10.9,,,,$17.6,$14.5,$32.1,$329.1,
,1967,,$1.0,$12.1,$30.1,,,$43.2,$9.0,$52.2,$510.2,
,1968,,,$3.4,$62.9,,,$66.3,$6.9,$73.1,$678.3,Mariner V launch: 14 Jun 1967
,1969,,,,$26.1,$20.1,,$46.2,$11.0,$57.2,$502.2,Mariner VI launch: 25 Feb 1969. Mariner VII launch: 27 Mar 1969
,1970,,,,$3.7,$59.3,$0.9,$63.9,$9.2,$73.1,$599.8,
,1971,,,,$0.2,$31.3,$10.4,$41.8,$3.0,$44.9,$346.6,Mariner VIII launch: 8 May 1971. Mariner IX launch: 30 May 1971
,1972,,,,,$17.0,$44.6,$61.6,$7.8,$69.4,$507.0,
,1973,,,,,$7.2,$30.5,$37.7,$6.8,$44.5,$307.5,
,1974,,,,,,$11.1,$11.1,,$11.1,$71.8,Mariner X launch: 3 Nov 1973
,1975,,,,,,$5.3,$5.3,,$5.3,$31.0,Mariner X last contact: 24 Mar 1975
Totals,,$20.9,$79.7,$26.4,$123.0,$134.8,$102.8,$545.3,$109.7,$655.0,"$6,120.0",
