Fiscal Year,Mariner 3 & 4,Mariner 6 & 7,Early Mariner LVs,Mariner 8 & 9,Viking,Mars Data Analysis,Mars Observer,Mars '94 NASA Cont.,Mars Pathfinder,Mars Exploration Program,InSight,MSR,Mars (nominal $),Mars,Mariner 1 & 2,Mariver 1 & 2 LV,Mariner 5,Mariner 5 LV,Pioneer Venus,Magellan,Venus (nominal $),Venus,Mariner 10,MESSENGER,Mercury,Pioneer 10 & 11,Voyager,Galileo,Cassini,Juno,Outer Planets Program,Europa Clipper,Outer Planets,Lunar Ranger,Lunar Orbiter,Lunar Surveyor,Lunar Prospector,GRAIL,Lunar Exploration Program,The Moon,NEAR,Stardust,DS1,CONTOUR,Deep Impact,Dawn,New Horizons,OSIRIS-REx,Lucy,Psyche,Small Bodies
1960,,,,,,,,,,,,,$0.0,$0.0,,,,,,,$0.0,$0.0,,,$0.0,,,,,,,,$0.0,$19.5,,,,,,$255.0,,,,,,,,,,,$0.0
1961,,,,,,,,,,,,,$0.0,$0.0,,,,,,,$0.0,$0.0,,,$0.0,,,,,,,,$0.0,$45.1,,$7.1,,,,$659.0,,,,,,,,,,,$0.0
1962,,,,,,,,,,,,,$0.0,$0.0,$13.2,$17.0,,,,,$30.2,$367.5,,,$0.0,,,,,,,,$0.0,$63.4,,$36.8,,,,"$1,218.9",,,,,,,,,,,$0.0
1963,$31.8,,$4.8,,,,,,,,,,$36.6,$430.0,$7.7,,,,,,$7.7,$90.4,,,$0.0,,,,,,,,$0.0,$71.3,$4.0,$66.4,,,,"$1,663.8",,,,,,,,,,,$0.0
1964,$28.4,,$10.6,,,,,,,,,,$38.9,$437.4,,,,,,,$0.0,$0.0,,,$0.0,,,,,,,,$0.0,$30.3,$20.0,$102.7,,,,"$1,720.0",,,,,,,,,,,$0.0
1965,$16.2,,,,,,,,,,,,$16.2,$176.1,,,,,,,$0.0,$0.0,,,$0.0,,,,,,,,$0.0,$11.0,$58.6,$121.9,,,,"$2,082.0",,,,,,,,,,,$0.0
1966,$2.3,,,,,,,,,,,,$2.3,$23.9,,,$10.9,$14.5,,,$25.4,$260.5,,,$0.0,,,,,,,,$0.0,$1.0,$72.6,$119.6,,,,"$1,981.6",,,,,,,,,,,$0.0
1967,$1.0,$30.1,,,,,,,,,,,$31.1,$304.4,,,$12.1,$9.0,,,$21.1,$205.9,,,$0.0,,,,,,,,$0.0,,$35.3,$87.5,,,,"$1,201.0",,,,,,,,,,,$0.0
1968,,$62.9,$6.9,,,,,,,,,,$69.7,$646.8,,,$3.4,,,,$3.4,$31.5,,,$0.0,,,,,,,,$0.0,,$10.0,$33.0,,,,$398.9,,,,,,,,,,,$0.0
1969,,$26.1,$11.0,$31.6,$12.4,,,,,,,,$81.2,$712.7,,,,,,,$0.0,$0.0,,,$0.0,$6.0,,,,,,,$52.3,,,,,,,$0.0,,,,,,,,,,,$0.0
1970,,$3.7,$2.1,$68.5,$40.2,,,,,,,,$114.5,$939.6,,,,,,,$0.0,$0.0,$0.9,,$7.4,$22.6,,,,,,,$185.6,,,,,,,$0.0,,,,,,,,,,,$0.0
1971,,$0.2,,$31.3,$41.1,,,,,,,,$72.6,$560.5,,,,,,,$0.0,$0.0,$13.4,,$103.5,$56.5,,,,,,,$436.3,,,,,,,$0.0,,,,,,,,,,,$0.0
