Official LCC,Fiscal Year,Formulation,Implementation (incl LV costs),Launch Vehicle,Operations,Total Cost,Total Cost (inflation adj),Notes
$496.2,2007,$1.2,,,,$1.2,$1.5,Selected: 13 Dec 2007
,2008,$27.0,$40.1,,,$67.1,$82.8,
,2009,$22.3,$130.6,,,$152.9,$185.2,KDP-C 28 Jan 2009
,2010,,$124.1,,,$124.1,$148.3,
,2011,,$103.4,,,$103.4,$121.6,Launch: 10 Sept 2011
,2012,,,,$29.8,$29.8,$36.5,
,2013,,,,$7.0,$7.0,$8.4,Lunar Impact (end of mission): 17 Dec 2012
,2014,,,,$3.0,$3.0,$3.5,
Totals,,$50.5,$398.2,$149.0,$39.8,$488.5,$587.9,LV Estimate from chart on slide 17 of https://science.nasa.gov/science-pink/s3fs-public/atoms/files/Glaze-Clarke-Bleacher-LPSC-March202-TAGGED.pdf
,,11%,89%,,8%,,,% dev spent on formulation vs. implementation. % TOTAL on operations
