Official LCC,Fiscal Year,Formulation,Development (incl LV costs),Launch Vehicle,Operations,Total Cost,Total Cost (inflation adj),Notes
$427,1999,$1.7,,,,$1.7,$2.8,Formulation start: Dec 1999
,2000,$9.6,,,,$9.6,$15.3,
,2001,$20.3,$31.5,,,$51.8,$79.4,Implementation start: July 2001
,2002,,$97.4,,,$97.4,$145.3,
,2003,,$86.7,,,$86.7,$126.6,
,2004,,$37.8,,$4.5,$42.3,$60.2,Launch: 3 Aug 2004
,2005,,,,$7.7,$7.7,$11.4,Ops cost 2004 - 2010 from FY2004 PBR
,2006,,,,$8.2,$8.2,$11.7,
,2007,,,,$9.4,$9.4,$13.0,
,2008,,,,$11.5,$11.5,$15.4,
,2009,,,,$16.3,$16.3,$21.2,
,2010,,,,$15.8,$15.8,$20.1,
,2011,,,,$22.7,$22.7,$28.4,
,2012,,,,$34.9,$34.9,$42.8,
,2013,,,,$16.6,$16.6,$20.0,
,2014,,,,$12.2,$12.2,$14.4,
,2015,,,,$6.0,$6.0,$6.9,End of mission (Mercury impact): 30 April 2015
,2016,,,,$6.8,$6.8,$7.7,
Totals,,$31.6,$253.4,$69,$172.6,$526.2,$642.6,LV Estimate from chart on slide 17 of https://science.nasa.gov/science-pink/s3fs-public/atoms/files/Glaze-Clarke-Bleacher-LPSC-March202-TAGGED.pdf
,,11%,89%,,33%,,,
