Formulation Start (Fiscal Year),Launch Date (Fiscal Year),Fiscal Years of Development (inclusive),Launch Date,Mission,Program Line,Launch Vehicle,LV Cost (2020),Type,,Decadal Periods,Launches,Avg dev time (FYs),Avg Launch Cost (2020 $)
,1962,,8/23/1961,Ranger 1,Ranger,Atlas Agena B,$95.2,Attempted Lunar Test Flight,,1960 - 1962,4,,
,1962,,11/18/1961,Ranger 2,Ranger,Atlas Agena B,$95.2,Attempted Lunar Test Flight,,1963 - 1972,27,3.3,$107
,1962,,1/26/1962,Ranger 3,Ranger,Atlas Agena B,$95.2,Attempted Lunar Impact,,1973 - 1982,8,5.8,$169
,1962,,4/23/1962,Ranger 4,Ranger,Atlas Agena B,$95.2,Lunar Impact,,1983 - 1992,3,9.0,
1961,1963,3,7/22/1962,Mariner 1,Mariner,Atlas Agena B,$106.0,Attempted Venus Flyby (Launch Failure),,1993 - 2002,12,4.3,$167
1961,1963,3,8/27/1962,Mariner 2,Mariner,Atlas Agena B,$106.0,Venus Flyby,,2003 - 2012,11,6.0,$151
,1963,,10/18/1962,Ranger 5,Ranger,Atlas Agena B,$95.2,Attempted Lunar Impact,,2013 - 2022,8,7.3,$163
,1964,,1/30/1964,Ranger 6,Ranger,Atlas Agena B,$95.2,Lunar Impact (Cameras Failed),,Average,10.4,5.9,$151
,1965,,7/28/1964,Ranger 7,Ranger,Atlas Agena B,$95.2,Lunar Impact,,Post-Apollo Avg,8.4,6.4,$162
1963,1965,3,11/5/1964,Mariner 3,Mariner,Atlas Agena D,$106.0,Attempted Mars Flyby,,,,,
1963,1965,3,11/28/1964,Mariner 4,Mariner,Atlas Agena D,$106.0,Mars Flyby,,,,,
,1965,,2/17/1965,Ranger 8,Ranger,Atlas Agena B,$95.2,Lunar Impact,,,,,
,1965,,3/21/1965,Ranger 9,Ranger,Atlas Agena B,$95.2,Lunar Impact,,,,,
,1966,,5/30/1966,Surveyor 1,Surveyor,Atlas Centaur,$169.5,Lunar Lander,,,,,
,1967,,8/10/1966,Lunar Orbiter 1,Lunar Orbiter,Atlas Agena D,$67.7,Lunar Orbiter,,,,,
,1967,,9/20/1966,Surveyor 2,Surveyor,Atlas Centaur,$169.5,Attempted Lunar Lander,,,,,
,1967,,11/6/1966,Lunar Orbiter 2,Lunar Orbiter,Atlas Agena D,$67.7,Lunar Orbiter,,,,,
,1967,,2/4/1967,Lunar Orbiter 3,Lunar Orbiter,Atlas Agena D,$67.7,Lunar Orbiter,,,,,
,1967,,4/17/1967,Surveyor 3,Surveyor,Atlas Centaur,$169.5,Lunar Lander,,,,,
,1967,,5/8/1967,Lunar Orbiter 4,Lunar Orbiter,Atlas Agena D,$67.7,Lunar Orbiter,,,,,
,1967,,6/14/1967,Mariner 5,Mariner,Atlas Agena D,$106.0,Venus Flyby,,,,,
,1968,,7/14/1967,Surveyor 4,Surveyor,Atlas Centaur,$169.5,Attempted Lunar Lander,,,,,
,1968,,8/1/1967,Lunar Orbiter 5,Lunar Orbiter,Atlas Agena D,$67.7,Lunar Orbiter,,,,,
,1968,,9/8/1967,Surveyor 5,Surveyor,Atlas Centaur,$169.5,Lunar Lander,,,,,
,1968,,11/7/1967,Surveyor 6,Surveyor,Atlas Centaur,$169.5,Lunar Lander,,,,,
,1968,,1/7/1968,Surveyor 7,Surveyor,Atlas Centaur,$169.5, Lunar Lander,,,,,
1967,1969,3,2/25/1969,Mariner 6,Mariner,Atlas Centaur,$106.0,Mars Flyby,,,,,
1967,1969,3,3/27/1969,Mariner 7,Mariner,Atlas Centaur,$106.0,Mars Flyby,,,,,
1968,1971,4,5/9/1971,Mariner 8,Mariner,Atlas Centaur,$106.0,Attempted Mars Flyby (Launch Failure),,,,,
1968,1971,4,5/30/1971,Mariner 9,Mariner,Atlas Centaur,$106.0,Mars Orbiter,,,,,
1969,1972,4,3/3/1972,Pioneer 10,Pioneer,Atlas Centaur,$109.9,Jupiter Flyby,,,,,
1969,1973,5,4/5/1973,Pioneer 11,Pioneer,Atlas Centaur,$109.9,Jupiter/Saturn Flyby,,,,,
1970,1974,5,11/4/1973,Mariner 10,Mariner,Atlas Centaur,$128.9,Venus/Mercury Flybys,,,,,
1969,1976,8,8/20/1975,Viking 1,Flagship,Titan IIIE-Centaur,$271.6,Mars Orbiter and Lander,,,,,
1969,1976,8,9/9/1975,Viking 2,Flagship,Titan IIIE-Centaur,$271.6,Mars Orbiter and Lander,,,,,
1972,1977,6,8/20/1977,Voyager 2,Flagship,Titan IIIE-Centaur,$197.7,Jupiter/Saturn/Uranus/Neptune Flyby,,,,,
1972,1977,6,9/5/1977,Voyager 1,Flagship,Titan IIIE-Centaur,$197.7,Jupiter/Saturn Flyby,,,,,
1975,1978,4,5/20/1978,Pioneer Venus 1,Pioneer,Atlas Centaur,$87.4,Venus Orbiter,,,,,
1975,1978,4,8/8/1978,Pioneer Venus 2,Pioneer,Atlas Centaur,$87.4,Venus Probes,,,,,
1984,1989,6,5/4/1989,Magellan,,STS,,Venus Orbiter,,,,,
1978,1990,13,10/18/1989,Galileo,Flagship,STS,,Jupiter Orbiter and Probe,,,,,
1985,1992,8,9/25/1992,Mars Observer,,Titan III,$367.8,Attempted Mars Orbiter (Contact Lost),,,,,
1994,1996,3,2/17/1996,NEAR,Discovery,Delta II,$78.5,Asteroid Eros Orbiter,,,,,
1994,1997,4,11/7/1996,Mars Global Surveyor,MEP,Delta II,$94.9,Mars Orbiter,,,,,
1994,1997,4,12/4/1996,Mars Pathfinder,Discovery,Delta II,$87.3,Mars Lander and Rover,,,,,
1990,1998,9,10/15/1997,Cassini,Flagship,Titan IVB,$729,Saturn Orbiter,,,,,
1996,1998,3,1/7/1998,Lunar Prospector,Discovery,Athena-2,,Lunar Orbiter,,,,,
1996,1999,4,10/24/1998,Deep Space 1 (DS1),New Millenium,Delta II,,Asteroid and Comet Flyby,,,,,
1996,1999,4,12/11/1998,Mars Climate Orbiter,MEP,Delta II,$78.7,Attempted Mars Orbiter,,,,,
1996,1999,4,1/3/1999,Mars Polar Lander,MEP,Delta II,$78.7,Attempted Mars Lander,,,,,
