Official LCC,Fiscal Year,Project Mgmt & Mission Design,Spacecraft Development,Experiments,Ground Operations,Total Development,Launch Vehicle,Operations,Total Cost,Total Cost (inflation adj),Notes
$320,1972,$1.5,$6.1,$1.6,,$9.2,,,$9.2,$67.0,
,1973,$1.4,$3.3,$1.3,$0.1,$6.1,,,$6.1,$41.9,
,1974,$2.5,$13.1,$11.4,$0.4,$27.4,$19.2,,$46.6,$300.4,
,1975,$3.5,$51.0,$14.2,$1.1,$69.8,$7.2,,$77.0,$447.8,
,1976,,$58.4,$18.7,$5.3,$82.4,$30.2,,$112.6,$601.2,
,1976TQ,,$16.0,$4.2,$3.4,$23.6,$1.9,,$25.5,$133.3,
,1977,,$29.1,$13.3,$7.9,$50.3,$9.5,,$59.8,$288.0,Voyager 2 launch: 20 Aug 1977. Voyager 1 launch: 5 Sept 1977.
,1978,,,,,,,$16.0,$16.0,$71.6,
,1979,,,,,,,$16.7,$16.7,$68.4,Voyager 1 Jupiter encounter: 5 Mar 1979. Voyager 2 Jupiter encounter: 9 Jul 1979.
,1980,,,,,,,$19.0,$19.0,$70.1,
,1981,,,,,,,$29.0,$29.0,$97.0,Voyager 1 Saturn encounter: 9 Nov 1980. Voyager 2 Saturn encounter: 25 Aug 1981.
,1982,,,,,,,$17.2,$17.2,$53.4,
,1983,,,,,,,$17.4,$17.4,$50.8,
,1984,,,,,,,$19.1,$19.1,$52.9,
,1985,,,,,,,$26.0,$26.0,$69.8,
,1986,,,,,,,$30.8,$30.8,$80.1,
,1987,,,,,,,$28.9,$28.9,$72.2,Voyager 2 Uranus encounter: 24 Jan 1986
,1988,,,,,,,$24.6,$24.6,$58.4,
,1989,,,,,,,$42.4,$42.4,$96.0,Voyager 2 Neptune encounter: 25 Aug 1989.
,1990,,,,,,,$25.5,$25.5,$55.2,Voyager 2 all camears deactivated: 9 Dec 1989.
,1991,,,,,,,$17.6,$17.6,$36.8,"Voyager 1 ""Pale Blue Dot"" image: 14 Feb 1990. Cameras deactivated."
,1992,,,,,,,$4.3,$4.3,$8.6,"Voyager operations transferred to ""Space Physics MO&DA"" account from planetary exploration"
,1993,,,,,,,$5.0,$5.0,$9.6,
,1994,,,,,,,$17.0,$17.0,$31.5,
,1995,,,,,,,$4.3,$4.3,$7.8,Estimates from FY96 PBR
,1996,,,,,,,$8.0,$8.0,$14.1,Estimates from FY96 PBR
,1997,,,,,,,$8.0,$8.0,$13.9,Estimates from FY96 PBR
,1998,,,,,,,$8.0,$8.0,$13.6,Estimates from FY96 PBR
,1999,,,,,,,,,,
,2000,,,,,,,,,,
,2001,,,,,,,,,,
,2002,,,,,,,$1.8,$1.8,$3.0,
,2003,,,,,,,$0.8,$0.8,$1.3,Estimate from FY04 PBR
,2004,,,,,,,$2.0,$2.0,$3.1,Estimate from FY04 PBR
,2005,,,,,,,,,,
,2006,,,,,,,,,,
,2007,,,,,,,,,,
,2008,,,,,,,,,,
,2009,,,,,,,,,,
,2010,,,,,,,,,,
,2011,,,,,,,$4.4,$4.4,$5.5,
,2012,,,,,,,$5.3,$5.3,$6.5,
,2013,,,,,,,$5.3,$5.3,$6.4,
,2014,,,,,,,$5.4,$5.4,$6.4,
,2015,,,,,,,$5.5,$5.5,$6.4,
,2016,,,,,,,$5.7,$5.7,$6.5,
,2017,,,,,,,$5.6,$5.6,$6.2,
,2018,,,,,,,$5.6,$5.6,$6.1,
,2019,,,,,,,$5.8,$5.8,$6.1,
,2020,,,,,,,$6.4,$6.4,$6.6,
,2021,,,,,,,$6.5,$6.5,$6.5,
,2022,,,,,,,$5.5,$5.5,$5.5,
Totals,,$8.9,$177.0,$64.6,$18.1,$268.7,$68.0,$456.5,$793.1,"$2,993.3",
,,,,,,,,57.6%,,,% total cost on ops
