year,Cassini,CONTOUR,DART,Dawn,Deep Impact,Deep Space 1,Europa Clipper,Galileo,Genesis,GRAIL,InSight,Juno,LADEE,Lucy,Lunar Orbiter,Lunar Prospector,Lunar Ranger,Lunar Surveyor,Magellan,Mariner Program,Mars Perseverance,Mars Observer,Mars Odyssey,Mars Pathfinder,MAVEN,MESSENGER,MER,MGS,MOMA,MPL and MCO,MRO,MSL Curiosity,NEAR,New Horizons,OSIRIS-REx,Phoenix,Pioneer 10 & 11,Pioneer Venus,Psyche,Stardust,Viking,VIPER,Voyager,Apollo
1960,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,749
1961,,,,,,,,,,,,,,,,,569.8,89.2,,186.9,,,,,,,,,,,,,,,,,,,,,,,,3856
1962,,,,,,,,,,,,,,,,,771.2,447.7,,588.2,,,,,,,,,,,,,,,,,,,,,,,,10539
1963,,,,,,,,,,,,,,,47,,837.1,779.8,,502.5,,,,,,,,,,,,,,,,,,,,,,,,23365
1964,,,,,,,,,,,,,,,224.8,,340.7,1154.5,,671.1,,,,,,,,,,,,,,,,,,,,,,,,35678
1965,,,,,,,,,,,,,,,637.1,,120,1324.9,,287.8,,,,,,,,,,,,,,,,,,,,,,,,34752
1966,,,,,,,,,,,,,,,744.4,,10.3,1227,,329.1,,,,,,,,,,,,,,,,,,,,,,,,34199
1967,,,,,,,,,,,,,,,345.1,,,855.9,,510.2,,,,,,,,,,,,,,,,,,,,,,,,33005
1968,,,,,,,,,,,,,,,92.8,,,306.1,,678.3,,,,,,,,,,,,,,,,,,,,,,,,27878
1969,,,,,,,,,,,,,,,,,,,,502.2,,,,,,,,,,,,,,,,,52.35,,,,109.1,,,21536
1970,,,,,,,,,,,,,,,,,,,,599.8,,,,,,,,,,,,,,,,,185.6,,,,330,,,15874
1971,,,,,,,,,,,,,,,,,,,,346.6,,,,,,,,,,,,,,,,,436.32,,,,317.4,,,8589
1972,,,,,,,,,,,,,,,,,,,,507,,,,,,,,,,,,,,,,,138.55,,,,1361.1,,67,5665
1973,,,,,,,,,,,,,,,,,,,,307.5,,,,,,,,,,,,,,,,,18.34,,,,1833.4,,41.9,1244
1974,,,,,,,,,,,,,,,,,,,,71.8,,,,,,,,,,,,,,,,,34.05,,,,2021,,300.4,
1975,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,28.66,159,,,554.1,,447.8,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22,336.4,,,210.9,,601.2,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,94.1,,,60.7,,133.3,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.03,314.9,,,122.4,,288,
1978,,,,,,,,93.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,103.7,,,89.4,,71.6,
1979,,,,,,,,321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63,36.7,,,20.4,,68.4,
1980,,,,,,,,428.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43,30.4,,,9,,70.1,
1981,,,,,,,,211.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38,15.7,,,,,97,
1982,,,,,,,,359.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,15.7,,,,,53.4,
1983,,,,,,,,267.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,50.8,
1984,,,,,,,,220.3,,,,,,,,,,,80.4,,,,,,,,,,,,,,,,,,,14,,,,,52.9,
1985,,,,,,,,157.6,,,,,,,,,,,247.9,,,36,,,,,,,,,,,,,,,,13.6,,,,,69.8,
1986,,,,,,,,167,,,,,,,,,,,313,,,90.6,,,,,,,,,,,,,,,,13.2,,,,,80.1,
1987,,,,,,,,177.9,,,,,,,,,,,263.1,,,93.2,,,,,,,,,,,,,,,9.63,13,,,,,72.2,
1988,,,,,,,,123.2,,,,,,,,,,,173.3,,,134.7,,,,,,,,,,,,,,,8.75,10.4,,,,,58.4,
1989,,,,,,,,166.3,,,,,,,,,,,136.4,,,284.9,,,,,,,,,,,,,,,8.78,12.7,,,,,96,
