year,Cassini,CONTOUR,DART,Dawn,Deep Impact,Deep Space 1,Europa Clipper,Galileo,Genesis,GRAIL,InSight,Juno,LADEE,Lucy,Lunar Orbiter,Lunar Prospector,Lunar Ranger,Lunar Surveyor,Magellan,Mariner Program,Mars Perseverance,Mars Observer,Mars Odyssey*,Mars Pathfinder,MAVEN,MESSENGER,MER,MGS,MOMA,MPL and MCO,MRO,MSL Curiosity,NEAR,New Horizons,OSIRIS-REx,Phoenix,Pioneer 10 & 11,Pioneer Venus,Psyche,Stardust,Viking,VIPER,Voyager,Apollo
1960,,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,57
1961,,,,,,,,,,,,,,,,,45.1,7.1,,14.8,,,,,,,,,,,,,,,,,,,,,,,,305
1962,,,,,,,,,,,,,,,,,63.4,36.8,,48.4,,,,,,,,,,,,,,,,,,,,,,,,870
1963,,,,,,,,,,,,,,,4,,71.3,66.4,,42.8,,,,,,,,,,,,,,,,,,,,,,,,2001
1964,,,,,,,,,,,,,,,20,,30.3,102.7,,59.7,,,,,,,,,,,,,,,,,,,,,,,,3173
1965,,,,,,,,,,,,,,,58.6,,11,121.9,,26.5,,,,,,,,,,,,,,,,,,,,,,,,3197
1966,,,,,,,,,,,,,,,72.6,,1,119.6,,32.1,,,,,,,,,,,,,,,,,,,,,,,,3334
1967,,,,,,,,,,,,,,,35.3,,,87.5,,52.2,,,,,,,,,,,,,,,,,,,,,,,,3375
1968,,,,,,,,,,,,,,,10,,,33,,73.1,,,,,,,,,,,,,,,,,,,,,,,,3005
1969,,,,,,,,,,,,,,,,,,,,57.2,,,,,,,,,,,,,,,,,6,,,,12.4,,,2454
1970,,,,,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,,,,,,,22.6,,,,40.2,,,1934
1971,,,,,,,,,,,,,,,,,,,,44.9,,,,,,,,,,,,,,,,,56.5,,,,41.1,,,1112
1972,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,,,,19,,,,186.3,,9.2,775
1973,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,,,,,,,2.7,,,,265.2,,6.1,180
1974,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,5.3,,,,313.4,,46.6,
1975,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,4.9,27.3,,,95.2,,77,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,63,,,39.5,,112.6,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,18,,,11.6,,25.5,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,65.4,,,25.4,,59.8,
1978,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,23.2,,,20,,16,
1979,,,,,,,,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,9,,,5,,16.7,
1980,,,,,,,,116.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,8.3,,,2.5,,19,
1981,,,,,,,,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.7,,,,,29,
1982,,,,,,,,115.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,5.1,,,,,17.2,
1983,,,,,,,,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,17.4,
1984,,,,,,,,79.5,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,5.1,,,,,19.1,
1985,,,,,,,,58.8,,,,,,,,,,,92.5,,,13,,,,,,,,,,,,,,,,5.1,,,,,26,
1986,,,,,,,,64.2,,,,,,,,,,,120.3,,,33.8,,,,,,,,,,,,,,,,5.1,,,,,30.8,
1987,,,,,,,,71.2,,,,,,,,,,,105.3,,,35.8,,,,,,,,,,,,,,,3.7,5.2,,,,,28.9,
1988,,,,,,,,51.9,,,,,,,,,,,73,,,53.9,,,,,,,,,,,,,,,3.5,4.4,,,,,24.6,
1989,,,,,,,,73.4,,,,,,,,,,,60.2,,,120,,,,,,,,,,,,,,,3.7,5.6,,,,,42.4,
1990,29.5,,,,,,,37.3,,,,,,,,,,,41.2,,,166.1,,,,,,,,,,,,,,,3.9,5.9,,,,,25.5,
1991,145.4,,,,,,,48.1,,,,,,,,,,,43.3,,,199.4,,,,,,,,,,,,,,,4.1,6.2,,,,,17.6,
1992,236.2,,,,,,,57.7,,,,,,,,,,,45.1,,,124.4,,,,,,,,,,,,,,,,6.5,,,,,4.3,
1993,226.5,,,,,,,59.4,,,,,,,,,,,7,,,21.2,,3.1,,,,,,,,,,,,,8.8,,,,,,5,
1994,359,,,,,,,59.4,,,,,,,,,,,11.8,,,,,76.3,,,,14.8,,,,,91.2,,,,4.5,,,,,,17,
1995,346.8,,,,,,,70.7,,,,,,,,,,,,,,,,109.4,,,,80,,,,,66,,,,2.5,,,,,,4.3,
1996,287.6,,,,,41.2,,71.5,,,,,,,,36.4,,,,,,,,57.1,,,,82.9,,59.8,,,16.4,,,,2.5,,,27.7,,,8,
1997,187.6,,,,,40.1,,64.4,0.8,,,,,,,20.6,,,,,,,,11.8,,,,21.4,,118.2,,,3.3,,,,2.5,,,63.7,,,8,
1998,60.4,0.4,,,,63.9,,29.8,43.7,,,,,,,4.7,,,,,,,64.9,4.6,,,,19.5,,79.6,,,11.2,,,,,,,54.5,,,8,
1999,64.6,8.8,,,1.5,13.8,,16,82.9,,,,,,,2.2,,,,,,,213.5,,,1.7,,13.1,,27.2,,,14.5,,,,,,,24.8,,,,
2000,61.2,52.1,,,22.8,4.9,,15,62.3,,,,,,,,,,,,,,109.2,,,9.6,18.9,12.8,,6,,,13.2,,,,,,,4.3,,,,
2001,58.1,62.2,,,72.7,5.8,,15,29.6,,,,,,,,,,,,,,38.3,,,51.8,296,9.1,,,12,,10,0.7,,,,,,4.6,,,,
2002,65.8,19.7,,1,113.4,0.6,,15,10.2,,,,,,,,,,,,,,14,,,97.4,277.6,6,,,58,5.7,1.5,30,,,,,,4.3,,,1.8,
2003,75.7,,,36.3,80.5,,,15,10,,,,,,,,,,,,,,10.5,,,86.7,172.4,6,,,146.9,60.6,3,123.6,,12.1,,,,5.6,,,0.8,
2004,81.2,,,126.5,17.8,,,,9.3,,,,,,,,,,,,,,9.9,,,42.3,51.6,6,,,185.5,118.1,,140.1,,25.5,,,,6.8,,,2,
2005,81,,,85.9,31.9,,,,9.7,,,2.7,,,,,,,,,,,10,,,7.7,30.3,6,,,143.7,117.5,,193.5,,108.9,,,,5.6,,,,
2006,81.3,,,59.6,7.7,,,,1.9,,,40.4,,,,,,,,,,,10,,,8.2,30.3,6,,,46.4,251,,77.8,,141.5,,,,6.6,,,,
2007,81.3,,,63.7,9.2,,,,,1.2,,87.8,,,,,,,,,,,10,,5.3,9.4,30.3,,,,47.6,416.8,,18.8,,119.4,,,,5.8,,,,
2008,81.3,,,7.8,9.2,,,,,67.1,,95,5.1,,,,,,,,,,10,,1,11.5,20,,,,38.9,545,,20.2,,11.4,,,,5.8,,,,
2009,81.3,,,7.6,9.2,,,,,152.9,,260.1,30.2,,,,,,,,,,10,,6.7,16.3,20,,,,23.9,229.3,,19,,1.2,,,,5.8,,,,
2010,81.3,,,8.1,9.2,,,,,124.1,,257.1,48.2,,,,,,,,,,10,,48.1,15.8,20,,,,23.2,258.4,,18.4,,,,,,5.8,,,,
2011,65.8,,,14.8,5.3,,,,,103.4,3,189.2,64.5,,,,,,,,,,10.1,,160.5,22.7,13.6,,6,,30.1,242.9,,9.7,4.9,,,,,5.8,,,4.4,
2012,60.3,,,14.3,4,,,,,29.8,62,14.4,70.4,,,,,,,,,,13.3,,245.7,34.9,15,,12.6,,39.9,174,,26.5,99.8,,,,,,,,5.3,
2013,57.9,,,23.3,3,,,,,7,122.7,17.8,48.7,,,,,,,,78.4,,13.2,,86.5,16.6,13.2,,14.4,,20.6,63.8,,9.6,125.5,,,,,,,,5.3,
2014,51.6,,,1.5,,,,,,3,203.3,7.7,8.5,,,,,,,,85.3,,12.3,,14.9,12.2,14,,20.9,,29.2,69.6,,12.9,207.3,,,,,,,,5.4,
2015,68.1,,,17.2,,,100,,,,170,35.4,,,,,,,,,110.6,,12,,13.8,6,13.7,,24.5,,27.9,63.5,,28.8,209.8,,,,,,,,5.5,
2016,58.8,,6.4,22.2,,,146.3,,,,92.1,45.8,,3,,,,,,,346.5,,9.7,,21.3,6.8,14.2,,12.5,,27.7,50.3,,21.5,124.7,,,,3,,,,5.7,
2017,54.1,,16.1,1,,,237.4,,,,32.3,61.9,,54.5,,,,,,,425.2,,10.8,,20.5,,12.5,,12.1,,28,56.2,,29.4,39.5,,,,47.3,,,,5.6,
2018,19.2,,41,11.1,,,525,,,,74.3,17.8,,81.4,,,,,,,536.6,,11.3,,22.2,,12.5,,12.9,,26.3,51.4,,12,42.8,,,,42,,,,5.6,
2019,3.9,,98,0.2,,,545,,,,23.1,11.8,,165.5,,,,,,,515.3,,11.5,,17.9,,3.6,,6.9,,26,51.1,,12.7,50.3,,,,174.2,,,39.7,5.8,
2020,,,72.4,,,,592.6,,,,13.6,33.8,,208.6,,,,,,,353,,11.7,,20.5,,,,6.7,,26.9,47,,17.3,37.1,,,,214,,,54.9,6.4,
2021,,,66.4,,,,434.8,,,,11.8,28.4,,143.6,,,,,,,150,,11.7,,22,,,,6.9,,27,47.5,,9.5,19.5,,,,169.6,,,99.1,6.5,
2022,,,11.1,,,,472.1,,,,8.8,32,,77.3,,,,,,,95.7,,11,,23,,,,4,,26,45,,9.5,17.2,,,,139.7,,,107.2,,
